Gene Name	SRR867740	SRR867737	SRR867735	SRR867739	SRR867736	SRR867738
TSPAN6	1570	913	926	841	1154	1084
TNMD	1	2	0	0	0	0
DPM1	1351	863	920	679	1102	778
SCYL3	381	197	199	190	217	245
C1orf112	912	588	510	456	776	595
FGR	0	4	0	0	1	4
CFH	12721	4925	4615	6541	6277	8359
FUCA2	2722	2177	2413	1496	2518	1950
GCLC	3012	2458	2295	1504	2774	2152
NFYA	595	356	467	296	401	414
STPG1	245	158	160	112	191	154
NIPAL3	1106	754	717	551	810	786
LAS1L	2113	1466	1675	1069	1705	1633
ENPP4	2	4	0	1	0	1
SEMA3F	3502	1958	1906	1643	2128	2754
CFTR	9	8	1	8	2	3
ANKIB1	6732	3763	3916	3433	4551	4735
CYP51A1	627	743	704	303	812	445
KRIT1	346	237	329	191	216	249
RAD52	275	180	178	117	227	187
MYH16	7	3	2	2	5	0
BAD	895	526	685	419	759	587
LAP3	12350	6900	6628	6404	8009	8517
CD99	3828	1825	2090	1980	2068	2713
HS3ST1	4	8	4	8	6	16
AOC1	0	0	2	0	1	0
WNT16	11	4	12	2	9	7
HECW1	160	219	179	92	204	118
MAD1L1	1550	1479	1561	863	1297	1253
LASP1	9073	7687	8808	4673	8647	6847
SNX11	584	455	421	281	500	393
TMEM176A	0	3	0	0	1	0
M6PR	3926	3349	3418	2099	4016	2809
KLHL13	1791	1124	1103	964	1205	1325
CYP26B1	244	107	108	131	129	193
ICA1	44	22	24	14	33	25
DBNDD1	140	72	89	74	115	116
ALS2	1232	903	915	629	1101	844
CASP10	736	364	310	414	389	591
CFLAR	1941	909	894	1012	1120	1381
TFPI	4698	2358	2319	2494	3158	3056
NDUFAF7	372	278	318	223	383	291
RBM5	2316	1468	1327	1249	1729	1684
MTMR7	34	23	15	19	18	27
SLC7A2	845	502	484	462	697	595
ARF5	1957	1413	1359	987	1636	1439
SARM1	144	70	77	62	95	119
POLDIP2	3211	3201	3067	1677	3844	2311
PLXND1	1329	865	888	716	1070	1079
AK2	5633	3826	3840	2788	4621	3869
CD38	44	12	1	22	7	19
FKBP4	3125	3636	3751	1622	4299	2397
KDM1A	6045	4496	4294	3021	5390	4097
RBM6	1534	989	1148	826	1241	1177
CAMKK1	772	594	539	454	498	638
RECQL	2589	1843	1680	1342	2187	1678
VPS50	1294	885	788	665	1053	773
HSPB6	3	4	2	7	0	6
ARHGAP33	50	13	16	20	15	40
NDUFAB1	1674	1403	1548	902	1538	1180
PDK4	1855	340	383	1048	495	1416
SLC22A16	0	4	0	0	0	0
ZMYND10	116	61	42	68	60	103
ABCB5	1	11	2	3	3	4
ARX	3	1	0	0	1	0
SLC25A13	1640	1230	1117	856	1458	1129
ST7	650	385	400	337	509	485
CDC27	3019	2298	2379	1622	3009	1953
SLC4A1	2	7	1	1	2	0
CALCR	1	3	2	2	2	1
HCCS	1084	883	945	606	1003	802
DVL2	2015	1741	1782	1068	1810	1489
PRSS22	1	1	0	0	1	0
UPF1	3457	2477	2350	1756	2690	2670
SKAP2	567	355	358	281	472	374
SLC25A5	3211	2713	2815	1606	2908	2295
MCUB	723	411	386	368	515	480
HOXA11	277	274	256	164	257	196
POLR2J	591	471	514	264	581	423
DHX33	839	774	743	393	873	646
MEOX1	190	113	107	114	140	126
THSD7A	10	17	4	6	8	11
LIG3	1138	944	816	596	1105	839
RPAP3	1889	1284	1416	942	1665	1206
ACSM3	3	6	1	1	3	4
REXO5	235	125	150	113	171	171
CIAPIN1	1566	1306	1251	766	1701	1096
SPPL2B	585	345	350	307	401	527
FAM214B	816	361	353	414	449	596
COPZ2	210	114	118	101	124	131
PRKAR2B	35	34	38	14	55	27
MSL3	1504	780	777	819	1011	1109
CREBBP	2386	1613	1880	1084	1900	1907
TSPOAP1	129	29	25	87	21	105
MPO	1	3	0	0	0	0
PON1	11	4	2	4	3	5
GCFC2	321	194	246	185	278	217
WDR54	524	325	307	255	362	379
CROT	359	168	182	185	218	242
ABCB4	5	10	3	2	2	3
KMT2E	2562	1208	1298	1220	1730	1761
