# Argument List:
# Name = demo
# peak file = Analysis/MAX_HeLa_S3_chip_seq.bed
# distance = 100000 bp
#chrom	txStart	txEnd	refseq	score	strand	symbol	rank
chr11	65261851	65298685	NM_002689	6.012	+	POLA2	1
chr8	27733315	27772653	NM_018246	3.080	-	CCDC25	2
chr8	27733315	27772653	NM_001304529	3.080	-	CCDC25	3
chr8	27733315	27772653	NM_001304530	3.080	-	CCDC25	4
chr8	27733315	27772653	NM_001304532	3.080	-	CCDC25	5
chr8	27733315	27772653	NR_130761	3.080	-	CCDC25	6
chr8	27733315	27772653	NR_130762	3.080	-	CCDC25	7
chr11	66685248	66721399	NM_006946	2.998	-	SPTBN2	8
chr11	61815160	61815240	NR_031729	2.987	-	MIR1908	9
chr11	7597185	7653765	NM_001256568	2.974	+	PPFIBP2	10
chr8	27774540	27804907	NM_001017420	2.974	+	ESCO2	11
chr14	55576156	55580092	NR_027123	2.961	-	KTN1-AS1	12
chr14	55580206	55684584	NR_073129	2.958	+	KTN1	13
chr14	55580206	55684584	NM_004986	2.958	+	KTN1	14
chr14	55580206	55684584	NM_001079522	2.958	+	KTN1	15
chr14	55580206	55684584	NM_001079521	2.958	+	KTN1	16
chr14	55580206	55684584	NM_001271014	2.958	+	KTN1	17
chr14	55580206	55684584	NR_073128	2.958	+	KTN1	18
chr12	56521824	56596196	NM_002898	2.941	+	RBMS2	19
chr11	61816202	61867354	NM_001281501	2.922	+	FADS2	20
chr11	61816403	61867354	NM_001281502	2.909	+	FADS2	21
chr11	61799624	61817057	NM_013402	2.867	-	FADS1	22
chr11	7605733	7653765	NM_001256569	2.774	+	PPFIBP2	23
chr1	235127802	235127937	NR_002956	2.753	-	SNORA14B	24
chr1	235109342	235128941	NM_014765	2.701	-	TOMM20	25
chr1	155195176	155195272	NR_030281	2.673	+	MIR92B	26
chr17	8039039	8049133	NM_001141	2.666	+	ALOX15B	27
chr17	8039039	8049133	NM_001039131	2.666	+	ALOX15B	28
chr17	8039039	8049133	NM_001039130	2.666	+	ALOX15B	29
chr1	155185823	155192915	NM_001204285	2.585	-	MUC1	30
chr1	155185823	155192915	NM_001204294	2.585	-	MUC1	31
chr1	155185823	155192915	NM_002456	2.585	-	MUC1	32
chr1	155185823	155192915	NM_001204292	2.585	-	MUC1	33
chr1	155185823	155192915	NM_001204286	2.585	-	MUC1	34
chr1	155185823	155192915	NM_001018016	2.585	-	MUC1	35
chr1	155185823	155192915	NM_001044391	2.585	-	MUC1	36
chr1	155185823	155192915	NM_001044390	2.585	-	MUC1	37
chr1	155185823	155192915	NM_001204293	2.585	-	MUC1	38
chr1	155185823	155192915	NM_001204297	2.585	-	MUC1	39
